Segment,Climb,stage,race,year
LeBrûlat,Le Brulat,3,tour de la provence,2019
RoutedescrêtesCassis-premièrepartie,Les Cretes,2,tour de la provence,2019
LaCridedepuisportailnoir,La Cride,4,tour de la provence,2020
MontVentoux14/7/16(St.Esleve-ChaletReynard),Chalet Reynard,3,tour de la provence,2020
GPMRoutedesCrêtes,Les Cretes,2,tour de la provence,2020
AltodelCastillo,Castillo Climb,1,vuelta a burgos,2019
COLPICONBLANCO,Picon Blanco,3,vuelta a burgos,2019
CiudadRomanadeClunia,Romana de Clunia,4,vuelta a burgos,2019
LagunasdeNeiladesdeQuintanardelaSierraporserrería,Lagunas de Neila,5,vuelta a burgos,2019
JebelHafeet(footoftheclimbtosummit,Jebel Hafeet,5,uae tour,2020
JebelJais-VeloViewer,Jebel Jais,6,uae tour,2019
JebelHafeet(footoftheclimbtosummit,Jebel Hafeet,3,uae tour,2019
MuurVanGeraardsbergenFlandersHill,Muur,1,omloop het nieuwsblad elite,2020
MuurVanGeraardsbergenFlandersHill,Muur,1,omloop het nieuwsblad elite,2019
côtefoursàchaux,Monesties,2,la route d'occitanie - la depeche du midi,2020
"GPMCôtedeMoncassin""RDS2016""",Moncassin,4,la route d'occitanie - la depeche du midi,2019
HospicedeFrancefromLuchon,Hospice de France,3,la route d'occitanie - la depeche du midi,2019
StGeniezRdSFinish,Aubignac,1,la route d'occitanie - la depeche du midi,2019
ALGS12-Fóia(Monchique),Alto de Foia,2,volta ao algarve em bicicleta,2019
SubidaparaaCorte(toda),Passo Barro,4,volta ao algarve em bicicleta,2019
SubidaMalhãoporPédoCoelho,Malhao,5,volta ao algarve em bicicleta,2019
ALGS12-Fóia(Monchique),Alto de Foia,2,volta ao algarve em bicicleta,2020
SubidaMalhãoporPédoCoelho,Malhao,4,volta ao algarve em bicicleta,2020
MontBouquetparBrouzet-les-Ales,Mont Bouquet,4,etoile de besseges,2020
Pasd'OullierparCassis,Pas d'Oullier,1,grand prix cycliste la marseillaise,2019
Routesdescrêtes-Officiel(LaCiotat),Route des Cretes,1,grand prix cycliste la marseillaise,2020
CitadeldeNamur,Namur,1,grand prix de wallonie,2019
CôteBiesmes/S/Thuin,Mur de Thuin,5,voo-tour de wallonie,2019
Côted'Am'cômont,Amcomont,4,voo-tour de wallonie,2019
CôtedeFayembois,Fayembois,2,voo-tour de wallonie,2019
StorheiaSummit,Storheia,3,arctic race of norway,2019
MurPasteur,Saint Etienne au Mont,4,4 jours de dunkerque / grand prix des hauts de france,2019
StruggleUpUggle!,Ugglebarnaby,3,tour de yorkshire,2019
RueduHerrenbergtoendofroad,Herrenberg,3,skoda-tour de luxembourg,2019
RosporttoDickweiler,Michelsbierg,2,skoda-tour de luxembourg,2019
Vionnaz-Torgon(Panneau),Torgon,4,tour de romandie,2019
Lesgrattes-LaTourne(new-traceGPScorrecte),La Tourne,1,tour de romandie,2019
coldes4chemins,Quatre Chemins,2,tour de france,2020
LesGarnauds-Merlette,Orcierres Merlette,4,tour de france,2020
laluzette,Lusette,6,tour de france,2020
PeyresourdeEast(ascent),Peyresourde,8,tour de france,2020
"Last7.7Km,MarieBlanque,TdF",Marie Blanque,9,tour de france,2020
SUCAUMAYavantTDF10/09/2020(VTT),Sac au May,12,tour de france,2020
PasdePeyrol(PuyMary),Puy Mary,13,tour de france,2020
MontéedesEsses,Croix Rousse,14,tour de france,2020
GrandColombierparCuloz,Grand Colombier,15,tour de france,2020
montéedeSt-Nizier-du-Moucherotte,Saint Nizier,16,tour de france,2020
ColdelaLoze-LaFlammeRougeverified,Col de la Loze,17,tour de france,2020
MontéeduPlateaudesGlières,Glieres,18,tour de france,2020
StradaProvincialeClimb,Poggio Murella,3,tirreno-adriatico,2020
Ospedalettorealclimb,Ospedaletto,4,tirreno-adriatico,2020
Sarnano-Sassotetto,Sassotetto,5,tirreno-adriatico,2020
ColdePorte,Col de Porte,2,criterium du dauphine,2020
Saint-Martin-de-Belleville(myCols.app),Saint Martin de Belleville,3,criterium du dauphine,2020
MegevetoAltiport,Megeve,4,criterium du dauphine,2020
MontéedeCordon1stPart,Cote de Cordon,5,criterium du dauphine,2020
salitagalisterna,Gallisterna,1,world championships - road race,2020
AsquiPiancavallo,Piancavallo,15,giro d'italia,2020
CalaoneChallenge#2,Calaone,13,giro d'italia,2020
Salita:Gorolo,Gorolo,12,giro d'italia,2020
MonteScuroTopSection,Montescuro,5,giro d'italia,2020
"EtnaNord1800m""PianoProvenzana""",Etna Piana Provenzana,3,giro d'italia,2020
SalitaSanNicolaCompleta,Agrigento,2,giro d'italia,2020
